class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.generate.ScaleFreeGraphGenerator;java.util.List;8;3;0;5;0;0
org.jgrapht.generate.ScaleFreeGraphGenerator;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph.DirectedEdgeContainer;java.util.Set;4;2;2;0;0;0
org.jgrapht.graph.AbstractBaseGraph.DirectedEdgeContainer;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph.DirectedEdgeContainer;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.AsUndirectedGraph;java.util.Set;4;2;0;2;0;0
org.jgrapht.graph.AsUndirectedGraph;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.AsUndirectedGraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.ext.JGraphModelAdapter;java.util.Set;3;0;0;0;3;0
org.jgrapht.ext.JGraphModelAdapter;java.util.List;2;1;0;0;1;0
org.jgrapht.ext.JGraphModelAdapter;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.RandomGraphGenerator.DefaultEdgeTopologyFactory;java.util.Set;0;0;0;0;0;0
org.jgrapht.generate.RandomGraphGenerator.DefaultEdgeTopologyFactory;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.RandomGraphGenerator.DefaultEdgeTopologyFactory;java.util.Map;2;0;0;2;0;0
org.jgrapht.graph.AsWeightedGraph;java.util.Set;0;0;0;0;0;0
org.jgrapht.graph.AsWeightedGraph;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.AsWeightedGraph;java.util.Map;2;1;0;1;0;0
org.jgrapht.graph.DefaultListenableGraph;java.util.Set;0;0;0;0;0;0
org.jgrapht.graph.DefaultListenableGraph;java.util.List;16;1;2;13;0;0
org.jgrapht.graph.DefaultListenableGraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.MaskEdgeSet;java.util.Set;1;0;0;1;0;0
org.jgrapht.graph.MaskEdgeSet;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.MaskEdgeSet;java.util.Map;0;0;0;0;0;0
org.jgrapht.util.ArrayUnenforcedSet;java.util.Set;1;0;0;0;1;0
org.jgrapht.util.ArrayUnenforcedSet;java.util.List;0;0;0;0;0;0
org.jgrapht.util.ArrayUnenforcedSet;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.RingGraphGenerator;java.util.Set;0;0;0;0;0;0
org.jgrapht.generate.RingGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.RingGraphGenerator;java.util.Map;2;0;0;2;0;0
org.jgrapht.util.ArrayUnenforcedSet.SetForEquality;java.util.Set;0;0;0;0;0;0
org.jgrapht.util.ArrayUnenforcedSet.SetForEquality;java.util.List;2;0;0;1;1;0
org.jgrapht.util.ArrayUnenforcedSet.SetForEquality;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.AbstractPathElementList;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.AbstractPathElementList;java.util.List;4;2;0;2;0;0
org.jgrapht.alg.AbstractPathElementList;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph;java.util.Set;6;4;0;2;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoVertexMap;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoVertexMap;java.util.List;6;3;1;2;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoVertexMap;java.util.Map;4;1;2;1;0;0
org.jgrapht.alg.VertexCovers;java.util.Set;6;3;0;2;1;0
org.jgrapht.alg.VertexCovers;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.VertexCovers;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.alg.IntArrayGraphAlgorithm;java.util.Set;2;0;0;2;0;0
org.jgrapht.experimental.alg.IntArrayGraphAlgorithm;java.util.List;2;1;0;1;0;0
org.jgrapht.experimental.alg.IntArrayGraphAlgorithm;java.util.Map;2;1;0;1;0;0
